1,Toy Story (1995),Adventure|Animation|C
2,Jumanji (1995),Adventure|Children|Fant
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|
5,Father of the Bride Part II (1995),Com
6,Heat (1995),Action|Crime|Thriller     
7,Sabrina (1995),Comedy|Romance         
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action            
10,GoldenEye (1995),Action|Adventure|Thr
11,"American President, The (1995)",Come
12,Dracula: Dead and Loving It (1995),Co
13,Balto (1995),Adventure|Animation|Chil
14,Nixon (1995),Drama                   
15,Cutthroat Island (1995),Action|Advent
16,Casino (1995),Crime|Drama            
17,Sense and Sensibility (1995),Drama|Ro
18,Four Rooms (1995),Comedy             
19,Ace Ventura: When Nature Calls (1995)
20,Money Train (1995),Action|Comedy|Crim
21,Get Shorty (1995),Comedy|Crime|Thrill
22,Copycat (1995),Crime|Drama|Horror|Mys
23,Assassins (1995),Action|Crime|Thrille
24,Powder (1995),Drama|Sci-Fi           
25,Leaving Las Vegas (1995),Drama|Romanc
26,Othello (1995),Drama                 
27,Now and Then (1995),Children|Drama   
28,Persuasion (1995),Drama|Romance      
29,"City of Lost Children, The (Cité des
30,Shanghai Triad (Yao a yao yao dao wai
31,Dangerous Minds (1995),Drama         
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1
33,Wings of Courage (1995),Adventure|Rom
34,Babe (1995),Children|Drama           
35,Carrington (1995),Drama|Romance      
36,Dead Man Walking (1995),Crime|Drama  
37,Across the Sea of Time (1995),Documen
38,It Takes Two (1995),Children|Comedy  
39,Clueless (1995),Comedy|Romance       
40,"Cry, the Beloved Country (1995)",Dra
41,Richard III (1995),Drama|War         
42,Dead Presidents (1995),Action|Crime|D
43,Restoration (1995),Drama             
44,Mortal Kombat (1995),Action|Adventure
45,To Die For (1995),Comedy|Drama|Thrill
46,How to Make an American Quilt (1995),
47,Seven (a.k.a. Se7en) (1995),Mystery|T
48,Pocahontas (1995),Animation|Children|
49,When Night Is Falling (1995),Drama|Ro
50,"Usual Suspects, The (1995)",Crime|My
51,Guardian Angel (1994),Action|Drama|Th
52,Mighty Aphrodite (1995),Comedy|Drama|
53,Lamerica (1994),Adventure|Drama      
54,"Big Green, The (1995)",Children|Come
55,Georgia (1995),Drama                 
56,Kids of the Round Table (1995),Advent
57,Home for the Holidays (1995),Drama   
58,"Postman, The (Postino, Il) (1994)",C
59,"Confessional, The (Confessionnal, Le
60,"Indian in the Cupboard, The (1995)",
61,Eye for an Eye (1996),Drama|Thriller 
62,Mr. Holland's Opus (1995),Drama      
63,Don't Be a Menace to South Central Wh
64,Two if by Sea (1996),Comedy|Romance  
65,Bio-Dome (1996),Comedy               
66,Lawnmower Man 2: Beyond Cyberspace (1
67,Two Bits (1995),Drama                
68,French Twist (Gazon maudit) (1995),Co
69,Friday (1995),Comedy                 
70,From Dusk Till Dawn (1996),Action|Com
71,Fair Game (1995),Action              
72,Kicking and Screaming (1995),Comedy|D
73,"Misérables, Les (1995)",Drama|War   
74,Bed of Roses (1996),Drama|Romance    
75,Big Bully (1996),Comedy|Drama        
76,Screamers (1995),Action|Sci-Fi|Thrill
77,Nico Icon (1995),Documentary         
78,"Crossing Guard, The (1995)",Action|C
79,"Juror, The (1996)",Drama|Thriller   
80,"White Balloon, The (Badkonake sefid)
81,Things to Do in Denver When You're De
82,Antonia's Line (Antonia) (1995),Comed
83,Once Upon a Time... When We Were Colo
84,Last Summer in the Hamptons (1995),Co
85,Angels and Insects (1995),Drama|Roman
86,White Squall (1996),Action|Adventure|
87,Dunston Checks In (1996),Children|Com
88,Black Sheep (1996),Comedy            
89,Nick of Time (1995),Action|Thriller  
90,The Journey of August King (1995),Dra
92,Mary Reilly (1996),Drama|Horror|Thril
93,Vampire in Brooklyn (1995),Comedy|Hor
94,Beautiful Girls (1996),Comedy|Drama|R
95,Broken Arrow (1996),Action|Adventure|
96,In the Bleak Midwinter (1995),Comedy|
97,"Hate (Haine, La) (1995)",Crime|Drama
98,Shopping (1994),Action|Thriller      
99,Heidi Fleiss: Hollywood Madam (1995),
100,City Hall (1996),Drama|Thriller     
101,Bottle Rocket (1996),Adventure|Comed
102,Mr. Wrong (1996),Comedy             
103,Unforgettable (1996),Mystery|Sci-Fi|
104,Happy Gilmore (1996),Comedy         
105,"Bridges of Madison County, The (199
106,Nobody Loves Me (Keiner liebt mich) 
107,Muppet Treasure Island (1996),Advent
108,Catwalk (1996),Documentary          
109,Headless Body in Topless Bar (1995),
110,Braveheart (1995),Action|Drama|War  
111,Taxi Driver (1976),Crime|Drama|Thril
112,Rumble in the Bronx (Hont faan kui) 
113,Before and After (1996),Drama|Myster
114,Margaret's Museum (1995),Drama      
115,"Happiness Is in the Field (Bonheur 
116,Anne Frank Remembered (1995),Documen
117,"Young Poisoner's Handbook, The (199
118,If Lucy Fell (1996),Comedy|Romance  
119,"Steal Big, Steal Little (1995)",Com
120,Race the Sun (1996),Adventure|Comedy
121,"Boys of St. Vincent, The (1992)",Dr
122,Boomerang (1992),Comedy|Romance     
123,Chungking Express (Chung Hing sam la
124,"Star Maker, The (Uomo delle stelle,
125,Flirting With Disaster (1996),Comedy
126,"NeverEnding Story III, The (1994)",
127,"Silences of the Palace, The (Saimt 
128,Jupiter's Wife (1994),Documentary   
129,Pie in the Sky (1996),Comedy|Romance
130,Angela (1995),Drama                 
131,Frankie Starlight (1995),Drama|Roman
132,Jade (1995),Thriller                
133,Nueba Yol (1995),Comedy|Drama       
134,Sonic Outlaws (1995),Documentary    
135,Down Periscope (1996),Comedy        
136,From the Journals of Jean Seberg (19
137,Man of the Year (1995),Documentary  
138,"Neon Bible, The (1995)",Drama      
139,Target (1995),Action|Drama          
140,Up Close and Personal (1996),Drama|R
141,"Birdcage, The (1996)",Comedy       
142,Shadows (Cienie) (1988),Drama       
143,Gospa (1995),Drama                  
144,"Brothers McMullen, The (1995)",Come
145,Bad Boys (1995),Action|Comedy|Crime|
146,"Amazing Panda Adventure, The (1995)
147,"Basketball Diaries, The (1995)",Dra
148,"Awfully Big Adventure, An (1995)",D
149,Amateur (1994),Crime|Drama|Thriller 
150,Apollo 13 (1995),Adventure|Drama|IMA
151,Rob Roy (1995),Action|Drama|Romance|
152,"Addiction, The (1995)",Drama|Horror
